species,results
Amdoparvovirus+Carnivore+amdoparvovirus+1,241
Aphthovirus+Foot-and-mouth+disease+virus,8020
Asfivirus+African+swine+fever+virus,1620
Cardiovirus+Cardiovirus+A,6210
Enterovirus+Enterovirus+B,129000
Enterovirus+Enterovirus+C,130000
Hepatovirus+Hepatovirus+A,5560
Lagovirus+Rabbit+hemorrhagic+disease+virus,1760
Macavirus+Alcelaphine+gammaherpesvirus+1,281
Mastadenovirus+Canine+mastadenovirus+A,1640
Pestivirus+Border+disease+virus,5780
Protoparvovirus+Carnivore+protoparvovirus+1,778
Rotavirus+Rotavirus+A,364000
Rubulavirus+Human+parainfluenza+virus+2,2320
Varicellovirus+Suid+alphaherpesvirus+1,420
